Number,deleted,Level3Code,Name,deleteddate
Emp168,1,0,Not Specified,00:00.0
Emp174,0,2,Human Resources,00:00.0
Emp187,1,0,Not Specified,00:00.0
Emp188,1,0,Not Specified,00:00.0
Emp190,1,0,Not Specified,00:00.0
Emp200,0,2,Human Resources,00:00.0
Emp201,1,0,Not Specified,00:00.0
Emp203,0,2,Human Resources,00:00.0
Emp204,0,2,Human Resources,00:00.0
Emp205,1,0,Not Specified,00:00.0
Emp207,0,2,Human Resources,00:00.0
Emp210,0,2,Human Resources,00:00.0
Emp211,1,2,Human Resources,00:00.0
Emp400,1,0,Not Specified,00:00.0
Emp401,1,0,Not Specified,00:00.0
Emp402,1,0,Not Specified,00:00.0
Emp403,1,0,Not Specified,00:00.0
Emp404,1,0,Not Specified,00:00.0
Emp408,1,0,Not Specified,00:00.0
Emp410,1,0,Not Specified,00:00.0
Emp411,1,0,Not Specified,00:00.0
Emp412,1,0,Not Specified,00:00.0
Emp430,0,2,Human Resources,00:00.0
Emp440,1,2,Human Resources,00:00.0
Emp45,1,0,Not Specified,00:00.0
Emp46,1,0,Not Specified,00:00.0
Emp58,1,0,Not Specified,00:00.0
Emp65,1,0,Not Specified,00:00.0
Emp68,1,0,Not Specified,00:00.0
Emp69,1,0,Not Specified,00:00.0
Emp70,1,0,Not Specified,00:00.0
Emp71,1,0,Not Specified,00:00.0
Emp72,1,0,Not Specified,00:00.0
Emp73,1,0,Not Specified,00:00.0
Emp74,1,0,Not Specified,00:00.0
Emp76,1,0,Not Specified,00:00.0
Emp77,1,0,Not Specified,00:00.0
Emp78,1,0,Not Specified,00:00.0
Emp79,0,2,Human Resources,00:00.0
Emp80,1,0,Not Specified,00:00.0
Emp81,0,2,Human Resources,00:00.0
Emp83,1,9,Systems Engineering,00:00.0
Emp84,1,0,Not Specified,00:00.0
Emp85,1,0,Not Specified,00:00.0
Emp86,0,2,Human Resources,00:00.0
Emp87,1,0,Not Specified,00:00.0
Emp89,1,0,Not Specified,00:00.0
Emp90,1,0,Not Specified,00:00.0
Emp91,1,0,Not Specified,00:00.0
Emp92,1,0,Not Specified,00:00.0
Emp94,1,0,Not Specified,00:00.0
Emp98,1,0,Not Specified,00:00.0
Emp99,1,0,Not Specified,00:00.0
gfr678,1,0,Not Specified,00:00.0
HCM 2025,0,0,Not Specified,00:00.0
HCM_1213,1,0,Not Specified,00:00.0
HCM10088,1,0,Not Specified,00:00.0
HCM1020,1,2,Human Resources,00:00.0
HCM1234,1,0,Not Specified,00:00.0
HCM17125,1,0,Not Specified,00:00.0
HCM17282,1,0,Not Specified,00:00.0
HCM18329,1,0,Not Specified,00:00.0
HCM18350,1,0,Not Specified,00:00.0
HCM18359,1,0,Not Specified,00:00.0
HCM18405,1,0,Not Specified,00:00.0
HCM18406,0,0,Not Specified,00:00.0
HCM18433,1,0,Not Specified,00:00.0
HCM18436,0,0,Not Specified,00:00.0
HCM18491,1,0,Not Specified,00:00.0
HCM18498,1,0,Not Specified,00:00.0
HCM18499,1,0,Not Specified,00:00.0
HCM18504,1,7,data analys,00:00.0
HCM18546,1,0,Not Specified,00:00.0
HCM18605,0,0,Not Specified,00:00.0
HCM18613,1,0,Not Specified,00:00.0
HCM18636,1,0,Not Specified,00:00.0
HCM18637,1,0,Not Specified,00:00.0
HCM18651,1,0,Not Specified,00:00.0
HCM18721,1,0,Not Specified,00:00.0
HCM18767,1,0,Not Specified,00:00.0
HCM18917,1,0,Not Specified,00:00.0
HCM18965,1,0,Not Specified,00:00.0
HCM18965,1,2,Human Resources,00:00.0
HCM18969,1,0,Not Specified,00:00.0
HCM19101,1,0,Not Specified,00:00.0
HCM19112,1,0,Not Specified,00:00.0
HCM19193,1,0,Not Specified,00:00.0
HCM19194,1,2,Human Resources,00:00.0
HCM19212,1,2,Human Resources,00:00.0
HCM19326,1,0,Not Specified,00:00.0
HCM19397,1,0,Not Specified,00:00.0
HCM19404,1,0,Not Specified,00:00.0
HCM19560,1,0,Not Specified,00:00.0
HCM19572,1,0,Not Specified,00:00.0
HCM19574,1,0,Not Specified,00:00.0
HCM19617,1,0,Not Specified,00:00.0
HCM19628,1,0,Not Specified,00:00.0
HCM19638,1,0,Not Specified,00:00.0
HCM19651,0,2,Human Resources,00:00.0
HCM19660,1,2,Human Resources,00:00.0
HCM19672,1,0,Not Specified,00:00.0
HCM19800,0,0,Not Specified,00:00.0
HCM20222,1,0,Not Specified,00:00.0
HCM2023,1,0,Not Specified,00:00.0
HCM2024,1,0,Not Specified,00:00.0
HCM20250128,1,0,Not Specified,00:00.0
HCM202522,1,0,Not Specified,00:00.0
HCM2901,0,0,Not Specified,00:00.0
HCMDuplicate29,1,0,Not Specified,00:00.0
HCMSelf,1,0,Not Specified,00:00.0
HI89,1,0,Not Specified,00:00.0
ICTR345,1,12,Industrial Engineering,00:00.0
JI23,1,0,Not Specified,00:00.0
JIT001,1,0,Not Specified,00:00.0
JK48596,1,0,Not Specified,00:00.0
M000456,1,0,Not Specified,00:00.0
M001996,1,0,Not Specified,00:00.0
M0034,1,0,Not Specified,00:00.0
M00925,1,0,Not Specified,00:00.0
M009875,1,0,Not Specified,00:00.0
M89457,1,0,Not Specified,00:00.0
